sample number,degradation of beta?naphthol  (%),acidity(pH),Concentration of beta?naphthol,amount of titanium dioxide (catalyst content),aeration rate (Air Flow Rate )
119,37,4,5,10,24
120,33,4,7,10,24
121,44,4,1,10,30
122,42,4,3,10,30
123,40,4,5,10,30
124,36,4,7,10,30
125,48,4,1,10,48
126,46,4,3,10,48
127,44,4,5,10,48
128,39,4,7,10,48
129,68,6,1,3,36
130,57,6,3,3,36
131,49,6,5,3,36
132,44,6,7,3,36
133,48,6,1,3,24
134,45,6,3,3,24
135,42,6,5,3,24
136,38,6,7,3,24
137,51,6,1,3,30
138,50,6,3,3,30
139,43,6,5,3,30
140,41,6,7,3,30
141,53,6,1,3,48
142,51,6,3,3,48
143,46,6,5,3,48
144,42,6,7,3,48
145,64,6,1,4.5,36
146,61,6,3,4.5,36
147,55,6,5,4.5,36
148,52,6,7,4.5,36
149,52,6,1,4.5,24
150,54,6,3,4.5,24
151,51,6,5,4.5,24
152,47,6,7,4.5,24
153,59,6,1,4.5,30
154,55,6,3,4.5,30
155,54,6,5,4.5,30
156,51,6,7,4.5,30
157,60,6,1,4.5,48
158,58,6,3,4.5,48
159,57,6,5,4.5,48
160,53,6,7,4.5,48
161,69,6,1,7,36
162,65,6,3,7,36
163,63,6,5,7,36
164,60,6,7,7,36
165,66,6,1,7,24
166,60,6,3,7,24
167,54,6,5,7,24
168,50,6,7,7,24
169,62,6,1,7,30
170,55,6,3,7,30
171,58,6,5,7,30
172,51,6,7,7,30
173,69,6,1,7,48
174,64,6,3,7,48
175,61,6,5,7,48
176,58,6,7,7,48
177,64,6,1,10,36
178,61,6,3,10,36
179,59,6,5,10,36
180,55,6,7,10,36
181,52,6,1,10,24
182,50,6,3,10,24
183,49,6,5,10,24
184,44,6,7,10,24
185,54,6,1,10,30
186,53,6,3,10,30
187,51,6,5,10,30
188,48,6,7,10,30
189,56,6,1,10,48
190,58,6,3,10,48
191,56,6,5,10,48
192,52,6,7,10,48
193,85,8,1,3,36
194,66,8,3,3,36
195,56,8,5,3,36
196,51,8,7,3,36
197,57,8,1,3,24
198,51,8,3,3,24
199,48,8,5,3,24
200,46,8,7,3,24
201,62,8,1,3,30
202,56,8,3,3,30
203,51,8,5,3,30
204,46,8,7,3,30
205,61,8,1,3,48
206,55,8,3,3,48
207,52,8,5,3,48
208,45,8,7,3,48
209,80,8,1,4.5,36
210,79,8,3,4.5,36
211,71,8,5,4.5,36
212,65,8,7,4.5,36
213,73,8,1,4.5,24
214,71,8,3,4.5,24
215,70,8,5,4.5,24
216,68,8,7,4.5,24
217,73,8,1,4.5,30
218,72,8,3,4.5,30
219,68,8,5,4.5,30
220,65,8,7,4.5,30
221,70,8,1,4.5,48
222,68,8,3,4.5,48
223,67,8,5,4.5,48
224,65,8,7,4.5,48
225,80,8,1,7,36
226,77,8,3,7,36
227,76,8,5,7,36
228,72,8,7,7,36
229,74,8,1,7,24
230,71,8,3,7,24
231,69,8,5,7,24
232,65,8,7,7,24
233,79,8,1,7,30
234,78,8,3,7,30
235,73,8,5,7,30
236,70,8,7,7,30
237,76,8,1,7,48
238,73,8,3,7,48
239,71,8,5,7,48
240,68,8,7,7,48
241,77,8,1,10,36
242,74,8,3,10,36
243,71,8,5,10,36
244,69,8,7,10,36
245,69,8,1,10,24
246,68,8,3,10,24
247,65,8,5,10,24
248,59,8,7,10,24
249,72,8,1,10,30
250,69,8,3,10,30
251,68,8,5,10,30
252,63,8,7,10,30
253,73,8,1,10,48
254,70,8,3,10,48
255,69,8,5,10,48
256,67,8,7,10,48
257,98,10,1,3,36
258,95,10,3,3,36
259,84,10,5,3,36
260,79,10,7,3,36
261,74,10,1,3,24
262,72,10,3,3,24
263,69,10,5,3,24
264,65,10,7,3,24
265,87,10,1,3,30
266,82,10,3,3,30
267,78,10,5,3,30
268,71,10,7,3,30
269,87,10,1,3,48
270,82,10,3,3,48
271,79,10,5,3,48
272,75,10,7,3,48
273,100,10,1,4.5,36
274,95,10,3,4.5,36
275,94,10,5,4.5,36
276,91,10,7,4.5,36
277,86,10,1,4.5,24
278,85,10,3,4.5,24
279,84,10,5,4.5,24
280,79,10,7,4.5,24
281,85,10,1,4.5,30
282,89,10,3,4.5,30
283,88,10,5,4.5,30
284,81,10,7,4.5,30
285,91,10,1,4.5,48
286,87,10,3,4.5,48
287,89,10,5,4.5,48
288,86,10,7,4.5,48
289,100,10,1,7,36
290,99,10,3,7,36
291,95,10,5,7,36
292,91,10,7,7,36
293,97,10,1,7,24
294,92,10,3,7,24
295,89,10,5,7,24
296,84,10,7,7,24
297,98,10,1,7,30
298,92,10,3,7,30
299,88,10,5,7,30
300,86,10,7,7,30
301,98,10,1,7,48
302,95,10,3,7,48
303,94,10,5,7,48
304,90,10,7,7,48
305,92,10,1,10,36
306,89,10,3,10,36
307,88,10,5,10,36
308,84,10,7,10,36
309,81,10,1,10,24
310,80,10,3,10,24
311,75,10,5,10,24
312,69,10,7,10,24
313,87,10,1,10,30
314,85,10,3,10,30
315,83,10,5,10,30
316,79,10,7,10,30
317,88,10,1,10,48
318,86,10,3,10,48
319,83,10,5,10,48
320,79,10,7,10,48
321,100,11,1,3,36
322,100,11,3,3,36
323,91,11,5,3,36
324,88,11,7,3,36
325,81,11,1,3,24
326,81,11,3,3,24
327,77,11,5,3,24
328,75,11,7,3,24
329,94,11,1,3,30
330,91,11,3,3,30
331,84,11,5,3,30
332,79,11,7,3,30
333,96,11,1,3,48
334,90,11,3,3,48
335,86,11,5,3,48
336,83,11,7,3,48
337,100,11,1,4.5,36
338,100,11,3,4.5,36
339,100,11,5,4.5,36
340,97,11,7,4.5,36
341,94,11,1,4.5,24
342,92,11,3,4.5,24
343,92,11,5,4.5,24
344,88,11,7,4.5,24
345,100,11,1,4.5,30
346,98,11,3,4.5,30
347,94,11,5,4.5,30
348,89,11,7,4.5,30
349,99,11,1,4.5,48
350,96,11,3,4.5,48
351,95,11,5,4.5,48
352,92,11,7,4.5,48
353,100,11,1,7,36
354,100,11,3,7,36
355,100,11,5,7,36
356,99,11,7,7,36
357,100,11,1,7,24
358,100,11,3,7,24
359,95,11,5,7,24
360,93,11,7,7,24
361,100,11,1,7,30
362,100,11,3,7,30
363,97,11,5,7,30
364,96,11,7,7,30
365,100,11,1,7,48
366,100,11,3,7,48
367,100,11,5,7,48
368,99,11,7,7,48
369,100,11,1,10,36
370,99,11,3,10,36
371,99,11,5,10,36
372,93,11,7,10,36
373,92,11,1,10,24
374,90,11,3,10,24
375,89,11,5,10,24
376,80,11,7,10,24
377,98,11,1,10,30
378,95,11,3,10,30
379,93,11,5,10,30
380,91,11,7,10,30
381,97,11,1,10,48
382,95,11,3,10,48
383,94,11,5,10,48
384,90,11,7,10,48
385,100,12,1,3,36
386,98,12,3,3,36
387,83,12,5,3,36
388,78,12,7,3,36
389,90,12,1,3,24
390,75,12,3,3,24
391,71,12,5,3,24
392,64,12,7,3,24
393,86,12,1,3,30
394,81,12,3,3,30
395,76,12,5,3,30
396,72,12,7,3,30
397,89,12,1,3,48
398,82,12,3,3,48
399,78,12,5,3,48
400,75,12,7,3,48
401,100,12,1,4.5,36
402,92,12,3,4.5,36
403,93,12,5,4.5,36
404,89,12,7,4.5,36
405,85,12,1,4.5,24
406,83,12,3,4.5,24
407,85,12,5,4.5,24
408,78,12,7,4.5,24
409,91,12,1,4.5,30
410,92,12,3,4.5,30
411,89,12,5,4.5,30
412,80,12,7,4.5,30
413,92,12,1,4.5,48
414,91,12,3,4.5,48
415,90,12,5,4.5,48
416,88,12,7,4.5,48
417,100,12,1,7,36
418,100,12,3,7,36
419,98,12,5,7,36
420,92,12,7,7,36
421,98,12,1,7,24
422,93,12,3,7,24
423,90,12,5,7,24
424,86,12,7,7,24
425,100,12,1,7,30
426,92,12,3,7,30
427,90,12,5,7,30
428,87,12,7,7,30
429,100,12,1,7,48
430,97,12,3,7,48
431,95,12,5,7,48
432,91,12,7,7,48
433,93,12,1,10,36
434,92,12,3,10,36
435,90,12,5,10,36
436,85,12,7,10,36
437,83,12,1,10,24
438,79,12,3,10,24
439,76,12,5,10,24
440,70,12,7,10,24
441,89,12,1,10,30
442,86,12,3,10,30
443,83,12,5,10,30
444,80,12,7,10,30
445,89,12,1,10,48
446,86,12,3,10,48
447,84,12,5,10,48
448,81,12,7,10,48
449,90,13,1,3,36
450,84,13,3,3,36
451,79,13,5,3,36
452,72,13,7,3,36
453,78,13,1,3,24
454,68,13,3,3,24
455,65,13,5,3,24
456,60,13,7,3,24
457,81,13,1,3,30
458,76,13,3,3,30
459,70,13,5,3,30
460,65,13,7,3,30
461,84,13,1,3,48
462,79,13,3,3,48
463,76,13,5,3,48
464,71,13,7,3,48
465,91,13,1,4.5,36
466,89,13,3,4.5,36
467,85,13,5,4.5,36
468,78,13,7,4.5,36
469,80,13,1,4.5,24
470,76,13,3,4.5,24
471,79,13,5,4.5,24
472,75,13,7,4.5,24
473,80,13,1,4.5,30
474,86,13,3,4.5,30
475,79,13,5,4.5,30
476,72,13,7,4.5,30
477,86,13,1,4.5,48
478,84,13,3,4.5,48
479,83,13,5,4.5,48
480,78,13,7,4.5,48
481,98,13,1,7,36
482,91,13,3,7,36
483,89,13,5,7,36
484,84,13,7,7,36
485,90,13,1,7,24
486,88,13,3,7,24
487,84,13,5,7,24
488,78,13,7,7,24
489,88,13,1,7,30
490,83,13,3,7,30
491,80,13,5,7,30
492,78,13,7,7,30
493,92,13,1,7,48
494,88,13,3,7,48
495,86,13,5,7,48
496,82,13,7,7,48
497,85,13,1,10,36
498,85,13,3,10,36
499,80,13,5,10,36
500,77,13,7,10,36
501,74,13,1,10,24
502,76,13,3,10,24
503,71,13,5,10,24
504,63,13,7,10,24
505,80,13,1,10,30
506,82,13,3,10,30
507,78,13,5,10,30
508,75,13,7,10,30
509,80,13,1,10,48
510,80,13,3,10,48
511,79,13,5,10,48
512,73,13,7,10,48
513,82,14,1,3,36
514,66,14,3,3,36
515,67,14,5,3,36
516,64,14,7,3,36
517,69,14,1,3,24
518,66,14,3,3,24
519,60,14,5,3,24
520,54,14,7,3,24
521,70,14,1,3,30
522,68,14,3,3,30
523,61,14,5,3,30
524,55,14,7,3,30
525,73,14,1,3,48
526,71,14,3,3,48
527,64,14,5,3,48
528,62,14,7,3,48
529,87,14,1,4.5,36
530,81,14,3,4.5,36
531,77,14,5,4.5,36
532,71,14,7,4.5,36
533,75,14,1,4.5,24
534,67,14,3,4.5,24
535,72,14,5,4.5,24
536,65,14,7,4.5,24
537,74,14,1,4.5,30
538,77,14,3,4.5,30
539,68,14,5,4.5,30
540,65,14,7,4.5,30
541,80,14,1,4.5,48
542,79,14,3,4.5,48
543,77,14,5,4.5,48
544,69,14,7,4.5,48
545,91,14,1,7,36
546,86,14,3,7,36
547,80,14,5,7,36
548,78,14,7,7,36
549,76,14,1,7,24
550,79,14,3,7,24
551,77,14,5,7,24
552,72,14,7,7,24
553,81,14,1,7,30
554,78,14,3,7,30
555,73,14,5,7,30
556,72,14,7,7,30
557,84,14,1,7,48
558,79,14,3,7,48
559,74,14,5,7,48
560,71,14,7,7,48
561,79,14,1,10,36
562,78,14,3,10,36
563,75,14,5,10,36
564,72,14,7,10,36
565,70,14,1,10,24
566,69,14,3,10,24
567,66,14,5,10,24
568,58,14,7,10,24
569,74,14,1,10,30
570,71,14,3,10,30
571,69,14,5,10,30
572,65,14,7,10,30
573,76,14,1,10,48
574,71,14,3,10,48
575,70,14,5,10,48
576,66,14,7,10,48
